adj,PosVers,Pos%ofPossible,PosTrivialVers,Pos%ofTrivial,VersDiffPos,PercDiffPos,NegVers,Neg%ofPossible,NegTrivialVers,Neg%ofTrivial,VersDiffNeg,PercDiffNeg,NegVersOdds,AllVers,PosVersRatioAll,NegVersRatioAll
rosey,1,0.023218017181332713,20,0.03543021134121065,19,0.01221219415987794,2.0,0.046436034362665427,9.0,0.015943595103544792,7.0,-0.030492439259120634,2.0,5,0.2,0.4
kiddy,1,0.023218017181332713,14,0.024801147938847457,13,0.001583130757514744,1.0,0.023218017181332713,3.0,0.005314531701181597,2.0,-0.017903485480151117,1.0,2,0.5,0.5
whelming,1,0.023218017181332713,9,0.015943595103544792,8,-0.007274422077787921,1.0,0.023218017181332713,2.0,0.003543021134121065,1.0,-0.019674996047211648,1.0,1,1.0,1.0
goodbye,1,0.023218017181332713,13,0.023029637371786923,12,-0.00018837980954579045,1.0,0.023218017181332713,4.0,0.00708604226824213,3.0,-0.016131974913090583,1.0,1,1.0,1.0
colorable,1,0.023218017181332713,8,0.01417208453648426,7,-0.009045932644848454,1.0,0.023218017181332713,2.0,0.003543021134121065,1.0,-0.019674996047211648,1.0,1,1.0,1.0
well-founded,1,0.023218017181332713,20,0.03543021134121065,19,0.01221219415987794,1.0,0.023218017181332713,2.0,0.003543021134121065,1.0,-0.019674996047211648,1.0,2,0.5,0.5
facto,1,0.023218017181332713,1,0.0017715105670605324,0,-0.021446506614272182,1.0,0.023218017181332713,1.0,0.0017715105670605324,0.0,-0.021446506614272182,1.0,1,1.0,1.0
feelin,1,0.023218017181332713,19,0.03365870077415012,18,0.010440683592817405,1.0,0.023218017181332713,4.0,0.00708604226824213,3.0,-0.016131974913090583,1.0,1,1.0,1.0
fetched,1,0.023218017181332713,1,0.0017715105670605324,0,-0.021446506614272182,1.0,0.023218017181332713,1.0,0.0017715105670605324,0.0,-0.021446506614272182,1.0,1,1.0,1.0
fussed,2,0.046436034362665427,5,0.008857552835302663,3,-0.03757848152736276,2.0,0.046436034362665427,7.0,0.012400573969423729,5.0,-0.0340354603932417,1.0,4,0.5,0.5
put-heavy,1,0.023218017181332713,2,0.003543021134121065,1,-0.019674996047211648,1.0,0.023218017181332713,2.0,0.003543021134121065,1.0,-0.019674996047211648,1.0,1,1.0,1.0
dunk,1,0.023218017181332713,8,0.01417208453648426,7,-0.009045932644848454,1.0,0.023218017181332713,2.0,0.003543021134121065,1.0,-0.019674996047211648,1.0,1,1.0,1.0
duper,1,0.023218017181332713,2,0.003543021134121065,1,-0.019674996047211648,1.0,0.023218017181332713,1.0,0.0017715105670605324,0.0,-0.021446506614272182,1.0,1,1.0,1.0
chicken,1,0.023218017181332713,33,0.05845984871299758,32,0.035241831531664866,1.0,0.023218017181332713,7.0,0.012400573969423729,6.0,-0.010817443211908985,1.0,1,1.0,1.0
rated,1,0.023218017181332713,4,0.00708604226824213,3,-0.016131974913090583,1.0,0.023218017181332713,2.0,0.003543021134121065,1.0,-0.019674996047211648,1.0,2,0.5,0.5
reparable,1,0.023218017181332713,20,0.03543021134121065,19,0.01221219415987794,1.0,0.023218017181332713,3.0,0.005314531701181597,2.0,-0.017903485480151117,1.0,1,1.0,1.0
throwaways,1,0.023218017181332713,10,0.017715105670605327,9,-0.005502911510727387,1.0,0.023218017181332713,2.0,0.003543021134121065,1.0,-0.019674996047211648,1.0,1,1.0,1.0
music-related,1,0.023218017181332713,15,0.026572658505907988,14,0.003354641324575275,1.0,0.023218017181332713,3.0,0.005314531701181597,2.0,-0.017903485480151117,1.0,2,0.5,0.5
big-headed,1,0.023218017181332713,28,0.049602295877694914,27,0.0263842786963622,1.0,0.023218017181332713,3.0,0.005314531701181597,2.0,-0.017903485480151117,1.0,2,0.5,0.5
