adv,NegStrictVers,Neg%ofStrict,NegTrivialVers,Neg%ofTrivial,VersDiff,PercDiff
as,2989,13.771654994471067,8104,3.354998965017595,5115,-10.416656029453472
so,2413,11.117766310357538,6748,2.7936245083833575,4335,-8.32414180197418
only,1922,8.855510504976042,6365,2.635065203891534,4443,-6.220445301084508
more,1711,7.883339476594175,5348,2.214034361415856,3637,-5.669305115178319
too,1634,7.528566162919277,4754,1.9681225419167874,3120,-5.56044362100249
just,1366,6.293770733505346,5626,2.3291244048851167,4260,-3.964646328620229
very,1352,6.229266494655363,4346,1.7992134133719726,2994,-4.43005308128339
really,1064,4.902322152598599,4678,1.9366590767956944,3614,-2.965663075802905
particularly,945,4.354036122373756,3092,1.2800662388739392,2147,-3.0739698834998173
necessarily,921,4.243457427202359,3709,1.5354998965017594,2788,-2.7079575307005994
exactly,848,3.907113896056027,3728,1.5433657627820327,2880,-2.3637481332739942
always,835,3.8472171028381865,2921,1.20927344235148,2086,-2.6379436604867066
that,822,3.7873203096203465,2205,0.9128544814738149,1383,-2.8744658281465316
entirely,683,3.146885366752673,2870,1.188159801283378,2187,-1.9587255654692948
completely,660,3.0409141172134166,2756,1.1409646036017387,2096,-1.899949513611678
quite,644,2.9671949870991523,3233,1.3384392465328088,2589,-1.6287557405663435
even,607,2.7967194987099155,2850,1.1798799420409853,2243,-1.6168395566689302
overly,567,2.6124216734242536,1883,0.7795487476712896,1316,-1.8328729257529641
less,556,2.561739771470697,2292,0.948871869178224,1736,-1.6128679022924728
most,537,2.4741983044600073,1865,0.772096874353136,1328,-1.7021014301068713
all,451,2.0779579800958348,2176,0.9008486855723453,1725,-1.1771092945234893
totally,427,1.9673792849244378,2009,0.8317118608983647,1582,-1.1356674240260731
terribly,412,1.8982676004423147,1496,0.6193334713309874,1084,-1.2789341291113274
much,412,1.8982676004423147,2241,0.9277582281101222,1829,-0.9705093723321925
especially,377,1.7370070033173608,1505,0.6230594079900642,1128,-1.1139475953272966
yet,367,1.6909325469959455,1630,0.6748085282550197,1263,-1.0161240187409257
actually,356,1.6402506450423886,1834,0.759263092527427,1478,-0.8809875525149616
super,307,1.414485809067453,1124,0.46532808942247983,817,-0.9491577196449732
fully,281,1.294692222631773,1353,0.5601324777478783,1072,-0.7345597448838946
merely,280,1.2900847769996313,1909,0.7903125646864004,1629,-0.4997722123132309
truly,277,1.2762624401032068,1506,0.6234734009521837,1229,-0.652789039151023
sufficiently,222,1.0228529303354221,1251,0.5179051956116746,1029,-0.5049477347237475
not,196,0.903059343899742,1049,0.43427861726350653,853,-0.46878072663623543
extremely,185,0.852377441946185,876,0.36265783481680813,691,-0.4897196071293769
ever,180,0.8293402137854773,980,0.40571310287725104,800,-0.42362711090822625
remotely,176,0.8109104312569112,1075,0.4450424342786172,899,-0.365867996978294
inherently,169,0.7786583118319204,938,0.38832539846822606,769,-0.3903329133636943
simply,169,0.7786583118319204,1454,0.6019457669219623,1285,-0.17671254490995802
wholly,161,0.7417987467747881,976,0.4040571310287725,815,-0.3377416157460156
easily,151,0.6957242904533726,618,0.25584765058993997,467,-0.4398766398634326
real,150,0.691116844821231,619,0.25626164355205966,469,-0.4348552012691714
altogether,148,0.681901953556948,878,0.3634858207410474,730,-0.31841613281590064
usually,147,0.6772945079248065,871,0.3605878700062099,724,-0.3167066379185966
immediately,129,0.5943604865462587,581,0.24052991099151314,452,-0.3538305755547456
n't,129,0.5943604865462587,669,0.27696129165804184,540,-0.3173991948882169
already,125,0.5759307040176926,800,0.33119436969571514,675,-0.2447363343219775
incredibly,117,0.5390711389605602,668,0.27654729869592215,551,-0.2625238402646381
perfectly,112,0.5160339107998526,538,0.2227282136203685,426,-0.2933056971794841
highly,111,0.5114264651677111,569,0.23556199544607742,458,-0.27586446972163364
absolutely,107,0.4929966826391448,684,0.28317118608983644,577,-0.20982549654930838
nearly,104,0.4791743457427202,670,0.2773752846201614,566,-0.2017990611225588
generally,98,0.451529671949871,641,0.2653694887186918,543,-0.18616018323117917
physically,96,0.44231478068558794,445,0.18422686814324157,349,-0.25808791254234636
directly,92,0.4238849981570218,521,0.2156903332643345,429,-0.2081946648926873
